station_name,total_count
Livingston Rd (Highland Creek Trail),733.0
Livingston Rd / Guildwood Pkwy,504.0
Logan Av / Gerrard St E,66966.0
Logan Ave / Bain Ave,19572.0
Long Branch GO Station,546.0
Lonsdale Rd / Spadina Rd,8705.0
Lower Jarvis / Queens Quay E,101451.0
Lower Jarvis St / The Esplanade,79535.0
Lower Sherbourne St / The Esplanade,40611.0
Lower Simcoe St / Bremner Blvd,73908.0
Lower Spadina Ave / Lake Shore Blvd,25393.0
Lumsden Ave / Eastdale Ave - SMART,1348.0
Lundy Ave / Etienne Brule Park,2084.0
Lynn Williams St / East Liberty St,9934.0
Macpherson Ave / Spadina Rd,10921.0
Madison Ave / Bloor St W,63281.0
Mallon Ave / Jones Ave -SMART,25352.0
Marie Curtis Park,3278.0
Marilyn Bell Park Tennis Court,76539.0
Marlborough Ave / Yonge St,15227.0
Martin Goodman Trail (Marilyn Bell Park),63272.0
Martin Goodman Trail / Ontario Dr,87608.0
Mary McCormick Rec Centre (Sheridan Ave),21658.0
McGill St / Church St,30180.0
Merton St / Al Green Ln - SMART,3940.0
Merton St / Mount Pleasant Rd,15584.0
Metro Hall Plaza,37757.0
Mill St / Parliament St,77869.0
Mill St / Tannery Rd,21813.0
Moore Park,869.0
Morningside Park (Highland Creek Trail),4077.0
Morse St / Eastern Ave - SMART,11189.0
Mortimer Ave / Carlaw Ave SMART,2701.0
Mortimer Ave / Coxwell Ave,3369.0
Nassau St / Bellevue Ave,9303.0
Navy Wharf Ct. / Bremner Blvd.,28062.0
Neil McLellan Park - SMART,14227.0
Nelson St / Duncan St,27463.0
Niagara St / Richmond St W,71298.0
Niagara St / Tecumseth St,8218.0
Noble St / Queen St W,1726.0
Northern Dancer Blvd / Lake Shore Blvd E,26948.0
O'Connor Dr / Curity Ave,977.0
Oak St / Parliament St,3433.0
Oak St / Sumach St,4751.0
Ontario Place Blvd / Lake Shore Blvd W (East),76463.0
Ontario St / Adelaide St E -SMART,6137.0
Ontario St / King St E,8787.0
Orchard Park,3013.0
Orde St / McCaul St - SMART,5759.0
Oriole Pkwy / Kilbarry Rd,1152.0
Ossington Ave / Bloor St W,56963.0
Ossington Ave / College St,22331.0
Ossington Ave / Harrison St,8197.0
Pacific Ave / Glenlake Ave - SMART,8536.0
Palmerston Ave / Dundas St W - SMART,7023.0
Palmerston Ave / Vermont Ave,36354.0
Pape Ave / Gamble Ave,37473.0
Pape Subway Green P,15634.0
Parkside Dr / Bloor St W - SMART,37130.0
Parliament St / Aberdeen Ave,33955.0
Parliament St / Bloor St E,9932.0
Parliament St / Gerrard St,38039.0
Phoebe St / Spadina Ave,66587.0
Polson Pier,24873.0
Pottery Rd / Lower Don River Trail,23696.0
Pretoria Av / Broadview Av,47142.0
Primrose Ave / Davenport Rd - SMART,4001.0
Princes Gate / Nunavut Dr,68047.0
Princess St / Adelaide St E,60591.0
Priscilla  Ave / Dundas St W - SMART,896.0
Queen St E / Alton Av,12348.0
Queen St E / Berkeley St,47147.0
Queen St E / George St (Moss Park),20121.0
Queen St E / Hammersmith Ave,13154.0
Queen St E / Larchmount Ave,52724.0
Queen St E / Nursewood Rd (Neville Park Loop),12798.0
Queen St E / Pape Ave - SMART,4023.0
Queen St E / Sackville St,8290.0
Queen St E / Woodward Ave,5369.0
Queen St W  /  Fuller Ave - SMART,17310.0
Queen St W / Close Ave,78726.0
Queen St W / Cowan Ave,83998.0
Queen St W / Dovercourt Rd,87361.0
Queen St W / Gladstone Ave,83280.0
Queen St W / James St,34444.0
Queen St W / John St,18852.0
Queen St W / Ossington Ave,32698.0
Queen St W / Portland St,68710.0
Queen St W / Roncesvalles Ave,36782.0
Queen St W / Spadina Ave,17413.0
Queen St W / York St (City Hall),40026.0
Queen St. E / Eastern Ave,15687.0
Queen St. E / Rhodes Ave.,11579.0
Queen St. E / Spruce Hill Rd.,52010.0
Queen's Park / Bloor St W,36824.0
Queen's Park Cres E / Grosvenor St - SMART,7947.0
Queen's Park Cres W / Hoskin Ave,34887.0
Queens Quay / Yonge St,90531.0
Queens Quay E / Lower Sherbourne St,85506.0
Queens Quay W / Dan Leckie Way,111158.0
Queens Quay W / Lower Simcoe St,60233.0
Regal Rd / Dufferin St,6426.0
Richmond St E / Jarvis St Green P,18114.0
Richmond St E / Yonge St,21613.0
Richmond St W / York St,7108.0
Ripley Ave / Ormskirk Ave - SMART,524.0
Riverdale Park North (Broadview Ave),24267.0
Riverdale Park South (Broadview Ave),53004.0
Riverview Gardens,735.0
Robert St / Bloor St W - SMART,57233.0
Roehampton Ave / Mount Pleasant Rd,6019.0
Roehampton Ave / Yonge St,11548.0
Roehampton St / Bayview Ave - SMART,1895.0
Roncesvalles Ave / Marmaduke St,50087.0
Rosedale Park (20 Schofield Ave),9786.0
Rosedale Station,1835.0
Rosehill Ave / Avoca Ave - SMART,13201.0
Ross St / Cecil St - SMART,2938.0
Rouge Hill GO Station,2520.0
Roxborough St W / Yonge St,9712.0
Roxton Rd / Harbord St,31192.0
Royal York Rd / Lake Shore Blvd W,5088.0
Royal York Rd / Mimico Ave,1226.0
Runnymede Rd / Annette St - SMART,1136.0
Rusholme Park Cres / College St,95550.0
Rushton Rd / St Clair Ave W - SMART,9008.0
Russell Hill Rd / St Clair Ave W,28868.0
Russell St / Huron St - SMART,1409.0
Sackville St / Eastern Ave - SMART,6298.0
Salem Ave / Bloor St W,62919.0
Scott St / The Esplanade,41897.0
Seaton St / Dundas St E - SMART,60953.0
Sentinel Rd / Finch Hydro Corridor,3990.0
Shaw St / Dupont St,15984.0
Shaw St / Essex St,2478.0
Sherbourne St / Carlton St (Allan Gardens),66076.0
Sherbourne St / Isabella St,59036.0
Sherbourne St / Wellesley St E,78659.0
Sherbourne St N / Elm Ave - SMART,4591.0
Sheridan Ave / Dundas St W - SMART,4082.0
Simcoe St / Adelaide St W,64713.0
Simcoe St / Michael Sweet Ave - SMART,69012.0
Simcoe St / Queen St W,68315.0
Simcoe St / Wellington St North,74140.0
Simcoe St / Wellington St South,41717.0
Soho St / Queen St W,34394.0
Sorauren/Geoffrey (Sorauren Park) - SMART,9438.0
Southwood Dr / Kingston Rd - SMART,2329.0
Spadina Ave / Adelaide St W,57893.0
Spadina Ave / Blue Jays Way,62806.0
Spadina Ave / Fort York Blvd,49588.0
Spadina Ave / Harbord St - SMART,31910.0
Spadina Ave / Willcocks St,16658.0
Spadina Rd / Austin Terrace - SMART,2628.0
Spadina Rd / St.Clair Ave West,1239.0
St Clair Ave W / Bathurst St.,32249.0
St Clair Ave W / Castleton Ave - SMART,1358.0
St Clair Ave W / Gunns Rd - SMART,1456.0
St Clair Ave W / Winona Ave - SMART,6023.0
St Clair W Subway - Heath Entrance,928.0
St Clarens Ave / College St,80601.0
St Clarens Ave / Shirley Ave - SMART,1322.0
St Columba Pl / St Clair Ave E - SMART,684.0
St Joseph St / Bay St - SMART,10510.0
St. George St / Bloor St W,48184.0
St. George St / Hoskin Ave,68828.0
St. George St / Russell St - SMART,15187.0
Starspray Ave / Lawrence Ave E,1142.0
Sterling Rd / Dundas St W,23742.0
Stewart St / Bathurst St  - SMART,37714.0
Strachan Ave / Princes' Blvd,24401.0
Sumach St  / Queen St E,62238.0
Sumach St / Carlton St. (Riverdale Farm),40830.0
Summerhill Ave / Maclennan Ave,39764.0
Summerhill Station,48928.0
Sunnybrook Park,2681.0
Sunnyside - Gus Ryder Pool,33249.0
Sunnyside Ave / The Queensway - SMART,5459.0
Superior Ave / Lake Shore Blvd W,3996.0
Swansea Community Centre,1374.0
Symington Ave / Davenport Rd - SMART,1377.0
Symington Ave / Dupont St - SMART,9063.0
Taddle Creek Park,53799.0
Tecumseth St / Queen St W - SMART,12255.0
Ted Rogers Way / Bloor St E,48509.0
Teddington Park Ave - SMART,794.0
Temperance St. Station,17736.0
The Esplanade / Hahn Pl - SMART,6311.0
The Pond Rd / Sentinel Rd,7236.0
The Queensway / High St - SMART,1811.0
The Queensway at South Kingsway - SMART,13090.0
The Royal Ontario Museum (Bloor St Entrance),61872.0
Thompson St / Broadview Ave - SMART,36309.0
Tommy Thompson Park (Leslie Street Spit),42129.0
Toronto Bike Shop,50.0
Toronto Eaton Centre (Yonge St),17096.0
Toronto Inukshuk Park,20960.0
Torrens Ave / Broadview Ave,1101.0
Torresdale Ave / Antibes Dr,2514.0
Trent Ave / Danforth Ave - SMART,2481.0
Trinity St /Front St E,9390.0
Twelfth St / Thirteenth St,1693.0
Tyndall Ave / King St W - SMART,16720.0
Ulster St / Bathurst St,94381.0
Union Station,103377.0
University Ave / Armoury St - SMART,6310.0
University Ave / College St (East),22466.0
University Ave / College St (West),66158.0
University Ave / Elm St,20501.0
University Ave / Gerrard St W (East Side),20496.0
University Ave / Gerrard St W (West Side),4006.0
University Ave / King St W - SMART,45970.0
University Ave / Queen St W,16444.0
University Ave / Richmond St W,3453.0
University of Toronto Scarborough,389.0
Vanauley St / Queen St W - SMART,21990.0
Vaughan Rd / Oakwood Ave - SMART,1353.0
Vaughan Rd /Wychwood Ave,2404.0
Via Italia / Mackay Ave - SMART,4177.0
Victoria Park Ave / Danforth Ave - SMART,1096.0
Victoria Park Subway Station - SMART,4034.0
Victoria St / Queen St E,27640.0
Wallace Ave / Pauline Ave - SMART,1688.0
Wallace Ave / Symington Ave - SMART,20806.0
Walnut Ave / Queen St W,14469.0
Walton St / Elizabeth St - SMART,35332.0
Ward Ave / Wallace Ave,14998.0
,1.0
Waterfront Trail (Rouge Hill),1287.0
Wellesley St / Queen's Park Cres,13552.0
Wellesley St E / Yonge St (Green P),66499.0
Wellington St W / Bathurst St,40539.0
Wellington St W / Bay St,13353.0
Wellington St W / Portland St,86982.0
Wellington St W / Stafford St,57285.0
Wellington St W / York St,16528.0
Wells Hill Ave / St Clair Ave W,53890.0
Western Battery Rd / Pirandello St - SMART,11520.0
Westmoreland Ave / Fernbank Ave,110043.0
Westmount Ave / St Clair Ave W - SMART,3654.0
Weston Lions Park,1963.0
Weston Rd / St Clair Ave W - SMART,2084.0
Widmer St / Adelaide St W,95630.0
Wilket Creek Park,3368.0
Willcocks St / St. George St,17785.0
Windsor St / Newcastle St,892.0
Winona Dr / Davenport Rd,6742.0
